epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.875,1.12848,0.84061,1.06875,0.8542,0.91611,0.89851,0.57575,1.11407,1.92759,1.13688,0.0910573,0.000993631,0.000993631
2,258.044,1.11417,0.65458,1.08495,0.82271,0.85493,0.8985,0.59498,1.22717,1.18311,1.20694,0.0820374,0.00197371,0.00197371
3,386.832,1.09868,0.63941,1.08985,0.58618,0.82617,0.72394,0.4733,1.17766,3.48081,1.19428,0.0729975,0.00293382,0.00293382
4,515.317,1.0975,0.62533,1.08539,0.86339,0.86644,0.92524,0.56544,1.28182,2.76589,1.28298,0.0639376,0.00387394,0.00387394
5,642.419,1.09871,0.6187,1.08349,0.91155,0.81272,0.90847,0.56292,1.23486,2.47919,1.22394,0.0548578,0.00479409,0.00479409
6,768.732,1.07593,0.60286,1.06933,0.49176,0.81376,0.69073,0.46869,1.16058,2.74298,1.17582,0.0457579,0.00569425,0.00569425
7,895.16,1.06902,0.59161,1.07075,0.93874,0.86644,0.94689,0.59727,1.24386,3.20577,1.18911,0.0366381,0.00657443,0.00657443
8,1021.64,1.05115,0.58241,1.06172,0.91351,0.92865,0.95507,0.62271,1.14029,1.13491,1.18901,0.0274983,0.00743464,0.00743464
9,1149.2,1.03579,0.55998,1.06012,0.91755,0.8813,0.95728,0.62522,1.12741,2.12827,1.16143,0.0183386,0.00827486,0.00827486
10,1275.48,1.02731,0.55225,1.0549,0.95667,0.92315,0.96252,0.65408,1.12165,0.68487,1.12824,0.0091588,0.0090951,0.0090951
11,1401.78,1.01792,0.54156,1.05175,0.95396,0.94866,0.96272,0.63097,1.13151,1.06254,1.15683,0.009001,0.009001,0.009001
12,1527.56,1.0144,0.53638,1.05067,0.96648,0.9604,0.98499,0.62517,1.20204,0.54422,1.21296,0.0089011,0.0089011,0.0089011
13,1653.89,0.99839,0.51726,1.03843,0.97053,0.95045,0.98356,0.66293,1.08082,0.57181,1.14797,0.0088012,0.0088012,0.0088012
14,1779.32,0.97245,0.49541,1.02321,0.96373,0.97685,0.98928,0.75682,0.90954,0.44052,1.00541,0.0087013,0.0087013,0.0087013
15,1904.79,0.96153,0.48998,1.02296,0.96609,0.95604,0.97182,0.73615,0.94739,0.4552,1.03258,0.0086014,0.0086014,0.0086014
16,2029.89,0.95834,0.47828,1.02092,0.94804,0.96141,0.98111,0.65695,1.08975,0.62003,1.15579,0.0085015,0.0085015,0.0085015
17,2155.58,0.96085,0.47676,1.01258,0.97087,0.97309,0.98959,0.76856,0.89033,0.41126,0.99993,0.0084016,0.0084016,0.0084016
18,2281.47,0.94894,0.47202,1.01759,0.97461,0.96443,0.9875,0.70717,1.00507,0.45932,1.07898,0.0083017,0.0083017,0.0083017
19,2407.35,0.94527,0.46368,1.01659,0.97972,0.94023,0.97577,0.6401,1.13934,0.512,1.17275,0.0082018,0.0082018,0.0082018
20,2533.4,0.93853,0.46106,1.01446,0.97923,0.94732,0.97736,0.67921,1.0522,0.46544,1.09992,0.0081019,0.0081019,0.0081019
21,2659.36,0.93074,0.4531,1.00085,0.98321,0.96284,0.98489,0.66022,1.12294,0.4775,1.16785,0.008002,0.008002,0.008002
22,2785.58,0.92096,0.44808,1.00765,0.98611,0.97483,0.99202,0.77788,0.88215,0.38372,0.98557,0.0079021,0.0079021,0.0079021
23,2911.67,0.91995,0.44524,1.00327,0.97743,0.95738,0.97862,0.71861,0.96455,0.43884,1.05557,0.0078022,0.0078022,0.0078022
24,3036.99,0.92594,0.44746,1.0081,0.98067,0.97057,0.99027,0.77721,0.86227,0.41866,0.98095,0.0077023,0.0077023,0.0077023
25,3162.23,0.92038,0.44041,1.00589,0.9869,0.97651,0.99254,0.78186,0.86703,0.37183,0.98672,0.0076024,0.0076024,0.0076024
26,3287.42,0.91149,0.43726,1.00109,0.98769,0.96907,0.99232,0.79485,0.85434,0.36609,0.97805,0.0075025,0.0075025,0.0075025
27,3413.29,0.90732,0.42656,0.99527,0.98631,0.97685,0.9926,0.80125,0.84428,0.34681,0.97294,0.0074026,0.0074026,0.0074026
28,3538.89,0.90111,0.42687,0.99441,0.98942,0.98087,0.99255,0.7805,0.8796,0.36214,0.98698,0.0073027,0.0073027,0.0073027
29,3664.58,0.91243,0.43002,0.99523,0.98765,0.98154,0.99355,0.72971,0.96172,0.37442,1.05488,0.0072028,0.0072028,0.0072028
30,3790.83,0.88327,0.42024,0.98244,0.98427,0.98154,0.99326,0.78987,0.83589,0.34769,0.96889,0.0071029,0.0071029,0.0071029
31,3916.23,0.89219,0.41715,0.99166,0.9875,0.98188,0.99344,0.79269,0.84993,0.34299,0.97523,0.007003,0.007003,0.007003
32,4042.3,0.87752,0.40866,0.98186,0.98557,0.97953,0.99277,0.69597,1.00468,0.38771,1.10405,0.0069031,0.0069031,0.0069031
33,4168.46,0.88224,0.40962,0.98522,0.98819,0.98249,0.99357,0.80632,0.8243,0.33078,0.9616,0.0068032,0.0068032,0.0068032
34,4294.24,0.88051,0.40808,0.98277,0.9875,0.97919,0.99323,0.79299,0.84051,0.34097,0.97301,0.0067033,0.0067033,0.0067033
35,4419.77,0.87894,0.41144,0.98425,0.98916,0.98024,0.99373,0.80938,0.83076,0.33358,0.96594,0.0066034,0.0066034,0.0066034
36,4545.2,0.88231,0.41136,0.98477,0.99019,0.98271,0.99371,0.76446,0.89636,0.34517,1.01375,0.0065035,0.0065035,0.0065035
