epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,255.749,1.49257,0.43604,0.72334,0.65817,0.05377,0.0402,0.00921,1.41891,0.4229,0.84066,0.0955253,0.000497191,0.000497191
2,500.83,1.19037,0.5042,0.48966,0.18458,0.19313,0.12623,0.03876,1.08529,0.6408,0.54885,0.0910186,0.000990544,0.000990544
3,744.139,0.9782,0.61414,0.34504,0.27975,0.19894,0.18613,0.06393,1.06963,0.59309,0.48152,0.0865053,0.00147723,0.00147723
4,988.616,0.88799,0.63235,0.2968,0.2551,0.19589,0.15596,0.05139,1.15541,0.5647,0.609,0.0819853,0.00195725,0.00195725
5,1233.33,0.88132,0.66139,0.29041,0.47282,0.24487,0.22653,0.09568,0.86765,0.72741,0.37984,0.0774587,0.00243061,0.00243061
6,1478.4,0.84065,0.64204,0.2712,0.50588,0.43404,0.43006,0.20776,0.68741,0.73975,0.27887,0.0729254,0.00289729,0.00289729
7,1723.28,0.81333,0.65885,0.26079,0.3454,0.24512,0.21947,0.09639,0.89087,0.7171,0.37304,0.0683854,0.00335732,0.00335732
8,1968.11,0.7711,0.64558,0.24696,0.22028,0.189,0.12671,0.04809,1.0695,0.68713,0.49013,0.0638388,0.00381067,0.00381067
9,2212.92,0.76447,0.64175,0.24002,0.3697,0.07481,0.06178,0.02069,1.61214,0.53646,0.89196,0.0592855,0.00425736,0.00425736
10,2458.34,0.73737,0.62735,0.22624,0.66485,0.27533,0.33273,0.14794,0.83308,0.73828,0.39931,0.0547255,0.00469739,0.00469739
11,2703.18,0.73766,0.63667,0.22996,0.58054,0.14808,0.22344,0.10145,1.04953,0.6604,0.55924,0.0501588,0.00513075,0.00513075
12,2948.55,0.70401,0.63584,0.21745,0.77581,0.15508,0.19382,0.08908,1.05037,0.84963,0.58025,0.0455855,0.00555744,0.00555744
13,3192.84,0.71715,0.63934,0.22141,0.35802,0.04251,0.02973,0.00998,1.41364,0.55692,0.67823,0.0410056,0.00597747,0.00597747
14,3437.98,0.70149,0.64347,0.21389,0.81205,0.0754,0.13875,0.05802,1.23012,1.38943,0.89685,0.0364189,0.00639083,0.00639083
15,3682.72,0.67452,0.63102,0.20549,0.54184,0.22726,0.26593,0.11319,0.90568,0.81554,0.43472,0.0318256,0.00679752,0.00679752
16,3928.12,0.67679,0.62338,0.20439,0.74463,0.14286,0.21156,0.092,1.16982,0.59177,0.82632,0.0272256,0.00719755,0.00719755
17,4173.09,0.66662,0.62016,0.2024,0.33678,0.24768,0.2066,0.0888,0.89007,1.09504,0.43583,0.022619,0.00759091,0.00759091
18,4415.68,0.66329,0.62394,0.20401,0.51461,0.17751,0.16278,0.0658,0.95475,0.80391,0.53777,0.0180057,0.00797761,0.00797761
19,4659.29,0.64438,0.60862,0.19244,0.65199,0.53176,0.5664,0.33453,0.60879,0.6647,0.23281,0.0133857,0.00835764,0.00835764
20,4902.49,0.63218,0.60695,0.18758,0.70874,0.25895,0.29953,0.1369,0.82258,0.79745,0.40312,0.0087591,0.00873101,0.00873101
21,5147.13,0.62623,0.59874,0.18519,0.53508,0.11784,0.12659,0.05879,1.59489,0.3973,1.54986,0.0086668,0.0086668,0.0086668
22,5391.62,0.61276,0.59452,0.18147,0.69446,0.41976,0.43233,0.21578,0.69932,0.69514,0.3329,0.00860014,0.00860014,0.00860014
23,5637.26,0.59788,0.5799,0.17385,0.53851,0.48646,0.38187,0.21994,0.63854,0.98393,0.29426,0.00853348,0.00853348,0.00853348
24,5881.33,0.59128,0.57885,0.17342,0.55571,0.3904,0.39158,0.1807,0.85744,0.71594,0.48872,0.00846682,0.00846682,0.00846682
25,6125.45,0.59083,0.58201,0.1726,0.55705,0.29056,0.30767,0.17352,0.83317,0.69819,0.40228,0.00840016,0.00840016,0.00840016
26,6369.17,0.58023,0.5713,0.16762,0.5131,0.51397,0.43687,0.23815,0.61517,0.83897,0.22889,0.0083335,0.0083335,0.0083335
27,6614.69,0.58744,0.56897,0.16996,0.6207,0.44242,0.45011,0.24891,0.69748,0.75321,0.32716,0.00826684,0.00826684,0.00826684
28,6858.58,0.57764,0.56553,0.16574,0.66049,0.41496,0.44458,0.24427,0.63421,0.79893,0.23444,0.00820018,0.00820018,0.00820018
29,7102.82,0.57434,0.56346,0.16552,0.5795,0.39218,0.38363,0.23038,0.8207,0.91695,0.39174,0.00813352,0.00813352,0.00813352
30,7347.05,0.5697,0.56018,0.16387,0.75407,0.31379,0.42079,0.24152,0.72932,0.8285,0.30933,0.00806686,0.00806686,0.00806686
31,7591.01,0.56496,0.55861,0.16388,0.73339,0.51609,0.57168,0.34807,0.57004,0.80782,0.23625,0.0080002,0.0080002,0.0080002
32,7834.45,0.57311,0.55938,0.16283,0.46662,0.29533,0.20043,0.09241,0.90047,0.96095,0.50047,0.00793354,0.00793354,0.00793354
33,8079.57,0.55849,0.55786,0.16011,0.71486,0.48457,0.55267,0.30757,0.63899,0.83371,0.23864,0.00786688,0.00786688,0.00786688
34,8324.47,0.5631,0.55391,0.16135,0.62429,0.4533,0.4293,0.24353,0.625,0.9858,0.24651,0.00780022,0.00780022,0.00780022
35,8568.95,0.55409,0.55442,0.1555,0.73487,0.59778,0.67971,0.44162,0.51943,0.66815,0.1892,0.00773356,0.00773356,0.00773356
36,8814.03,0.55769,0.54907,0.15818,0.76734,0.61212,0.68609,0.44884,0.52788,0.65537,0.1903,0.0076669,0.0076669,0.0076669
37,9061.63,0.54647,0.54854,0.15516,0.72319,0.65064,0.67876,0.405,0.54057,0.6472,0.20249,0.00760024,0.00760024,0.00760024
38,9308,0.55185,0.5539,0.15783,0.59164,0.52863,0.53572,0.26796,0.65182,0.73046,0.27608,0.00753358,0.00753358,0.00753358
39,9552.61,0.5461,0.54393,0.1542,0.6534,0.49946,0.44268,0.27026,0.53432,0.87084,0.20713,0.00746692,0.00746692,0.00746692
40,9798.06,0.54162,0.54101,0.15244,0.70153,0.63853,0.68068,0.44363,0.51416,0.6928,0.1995,0.00740026,0.00740026,0.00740026
41,10043.8,0.54836,0.54165,0.154,0.76508,0.65602,0.71495,0.43049,0.53965,0.60616,0.19006,0.0073336,0.0073336,0.0073336
42,10289.9,0.54122,0.54659,0.15223,0.70746,0.64782,0.67101,0.44331,0.49302,0.64343,0.1838,0.00726694,0.00726694,0.00726694
43,10535.3,0.54133,0.5403,0.15212,0.7869,0.70478,0.76617,0.52459,0.4623,0.56585,0.15558,0.00720028,0.00720028,0.00720028
44,10780.2,0.5455,0.53906,0.1541,0.80115,0.68721,0.76563,0.51395,0.48159,0.57317,0.16166,0.00713362,0.00713362,0.00713362
45,11024.5,0.53509,0.53623,0.14957,0.72014,0.58473,0.58158,0.37342,0.4999,0.72482,0.17499,0.00706696,0.00706696,0.00706696
46,11269.2,0.53578,0.53898,0.15096,0.79338,0.7095,0.78321,0.52924,0.4687,0.56983,0.15887,0.0070003,0.0070003,0.0070003
47,11514.6,0.5329,0.53321,0.14901,0.79163,0.72245,0.78335,0.53215,0.46435,0.5692,0.15878,0.00693364,0.00693364,0.00693364
48,11759.1,0.53648,0.53973,0.15072,0.80154,0.66257,0.73729,0.50532,0.45937,0.58351,0.15471,0.00686698,0.00686698,0.00686698
49,12003.7,0.53421,0.53156,0.14813,0.79659,0.71229,0.77052,0.51004,0.47606,0.56731,0.15878,0.00680032,0.00680032,0.00680032
50,12248.1,0.52379,0.53099,0.14677,0.80892,0.74476,0.80784,0.5623,0.45003,0.52827,0.15631,0.00673366,0.00673366,0.00673366
51,12491.3,0.52776,0.53183,0.14747,0.80934,0.76109,0.81831,0.57038,0.44499,0.53389,0.14876,0.006667,0.006667,0.006667
52,12735.5,0.51926,0.53127,0.14644,0.77445,0.70791,0.74195,0.50482,0.46861,0.61867,0.15967,0.00660034,0.00660034,0.00660034
53,12979.9,0.52534,0.53602,0.14874,0.80702,0.74027,0.78876,0.53655,0.46547,0.53793,0.16065,0.00653368,0.00653368,0.00653368
54,13224.4,0.52079,0.52542,0.14466,0.79705,0.68506,0.74643,0.49955,0.50305,0.57756,0.18007,0.00646702,0.00646702,0.00646702
55,13469.7,0.52473,0.52894,0.14628,0.81469,0.74926,0.80369,0.54891,0.464,0.54333,0.15473,0.00640036,0.00640036,0.00640036
56,13713.9,0.51951,0.52221,0.14292,0.82365,0.75586,0.81955,0.57056,0.45089,0.52203,0.1515,0.0063337,0.0063337,0.0063337
57,13958.8,0.51428,0.52332,0.14414,0.81378,0.7685,0.82329,0.57784,0.44142,0.52646,0.1528,0.00626704,0.00626704,0.00626704
58,14202.2,0.52045,0.5211,0.14413,0.83111,0.76848,0.82677,0.58115,0.43809,0.51431,0.146,0.00620038,0.00620038,0.00620038
59,14447.4,0.51772,0.52665,0.14391,0.83271,0.76209,0.8242,0.57187,0.44667,0.51092,0.15184,0.00613372,0.00613372,0.00613372
