epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.592,1.16164,1.53764,1.11112,0.56771,0.53106,0.54978,0.37022,1.32592,1.44958,1.18074,0.0955336,0.000496269,0.000496269
2,398.526,1.04006,0.92589,1.06428,0.60279,0.48063,0.49312,0.32004,1.43024,1.5374,1.27822,0.0910269,0.000989628,0.000989628
3,589.143,1.02744,0.86552,1.06621,0.54962,0.38303,0.4394,0.28691,1.54344,1.85782,1.42759,0.0865136,0.00147632,0.00147632
4,776.993,1.0161,0.84644,1.06386,0.59162,0.50191,0.53314,0.35543,1.54533,1.45183,1.40084,0.0819937,0.00195635,0.00195635
5,960.627,1.01539,0.82688,1.06373,0.64773,0.57876,0.63253,0.4367,1.35824,1.2086,1.27982,0.077467,0.00242971,0.00242971
6,1146.76,1.00187,0.81733,1.06255,0.65798,0.5013,0.57712,0.38818,1.43982,1.39065,1.37403,0.0729337,0.0028964,0.0028964
7,1333.66,1.00099,0.80446,1.05937,0.66233,0.58265,0.62897,0.43037,1.44325,1.55669,1.40711,0.0683937,0.00335643,0.00335643
8,1518.52,0.99593,0.80055,1.06015,0.59387,0.50092,0.5302,0.35342,1.54387,1.49836,1.43599,0.0638471,0.00380979,0.00380979
9,1706.69,0.99463,0.78999,1.05424,0.65792,0.59289,0.65175,0.43408,1.38644,1.17832,1.26939,0.0592938,0.00425649,0.00425649
10,1893.67,0.98435,0.77567,1.05177,0.67462,0.60561,0.65683,0.44598,1.33449,1.18421,1.26776,0.0547338,0.00469652,0.00469652
11,2081.55,0.97828,0.76878,1.05265,0.63569,0.63782,0.66793,0.44508,1.31676,1.07041,1.24301,0.0501672,0.00512989,0.00512989
12,2265.38,0.96544,0.75525,1.04415,0.74288,0.68831,0.76159,0.53768,1.25885,0.95961,1.1865,0.0455939,0.00555659,0.00555659
13,2448.64,0.96309,0.74852,1.04576,0.79028,0.71538,0.79547,0.57149,1.27981,0.86115,1.25493,0.0410139,0.00597662,0.00597662
14,2631.14,0.95772,0.744,1.04035,0.67314,0.61992,0.67094,0.45242,1.36965,1.24231,1.29705,0.0364273,0.00638999,0.00638999
15,2812.63,0.93653,0.72485,1.03464,0.77118,0.68596,0.77109,0.52491,1.27121,0.96731,1.20465,0.031834,0.00679669,0.00679669
16,2994.26,0.94488,0.72206,1.03971,0.72395,0.63436,0.70264,0.50434,1.4109,1.28817,1.43028,0.027234,0.00719672,0.00719672
17,3181.4,0.93507,0.71633,1.03373,0.7513,0.68692,0.76474,0.54484,1.25211,0.97359,1.21148,0.0226274,0.00759009,0.00759009
18,3365.27,0.9311,0.71337,1.03125,0.79662,0.74361,0.81949,0.60292,1.17575,0.81897,1.15117,0.0180141,0.00797679,0.00797679
19,3547.41,0.93412,0.70906,1.02954,0.78517,0.73554,0.81656,0.60155,1.1622,0.82252,1.12876,0.0133941,0.00835683,0.00835683
20,3729.31,0.92616,0.7006,1.02661,0.79638,0.7642,0.83735,0.62381,1.12699,0.80222,1.10514,0.00876751,0.0087302,0.0087302
21,3910.96,0.91086,0.69032,1.02436,0.77911,0.75171,0.82589,0.617,1.1096,0.81482,1.11216,0.0086668,0.0086668,0.0086668
22,4096.26,0.90989,0.68631,1.02141,0.79172,0.76008,0.84018,0.62264,1.11813,0.79556,1.10634,0.00860014,0.00860014,0.00860014
23,4280.99,0.90813,0.68121,1.02187,0.78289,0.74253,0.82547,0.61243,1.12662,0.82112,1.10792,0.00853348,0.00853348,0.00853348
24,4469.06,0.90538,0.67723,1.01964,0.80745,0.76943,0.84669,0.6323,1.11411,0.77755,1.10508,0.00846682,0.00846682,0.00846682
25,4658.21,0.88813,0.66062,1.01192,0.81745,0.7784,0.85891,0.64633,1.09241,0.75054,1.0841,0.00840016,0.00840016,0.00840016
26,4848.68,0.88281,0.65731,1.00945,0.82394,0.76837,0.85475,0.64616,1.13922,0.73172,1.15593,0.0083335,0.0083335,0.0083335
27,5038.15,0.88303,0.65659,1.00961,0.83535,0.78123,0.87796,0.67548,1.04393,0.71766,1.06787,0.00826684,0.00826684,0.00826684
28,5224.34,0.88128,0.65091,1.00995,0.81426,0.79755,0.87647,0.67082,1.05855,0.71154,1.07034,0.00820018,0.00820018,0.00820018
29,5407.87,0.8819,0.64581,1.00828,0.82139,0.79315,0.87772,0.68026,1.04166,0.70755,1.0659,0.00813352,0.00813352,0.00813352
30,5590.97,0.87163,0.63803,1.00679,0.83327,0.80644,0.88663,0.67712,1.04763,0.69544,1.06489,0.00806686,0.00806686,0.00806686
31,5774.05,0.8707,0.63709,1.0075,0.83751,0.79804,0.88075,0.67221,1.06133,0.69891,1.07367,0.0080002,0.0080002,0.0080002
32,5964.56,0.85769,0.6272,0.99766,0.83406,0.80625,0.88763,0.68642,1.03989,0.67766,1.06206,0.00793354,0.00793354,0.00793354
33,6154.26,0.84906,0.62255,0.99498,0.84613,0.81244,0.89539,0.69471,1.02677,0.66374,1.06456,0.00786688,0.00786688,0.00786688
34,6341.53,0.84689,0.61673,0.99424,0.84303,0.81448,0.89604,0.69518,1.02577,0.66103,1.05763,0.00780022,0.00780022,0.00780022
35,6527.25,0.85291,0.61998,0.99619,0.82398,0.81348,0.88947,0.68906,1.04081,0.67259,1.05934,0.00773356,0.00773356,0.00773356
